"CO_ANO";"SUBSTANCIA";"NO_FAT_AGREG";"EX_FOB.x";"QUANTIDADE_TON";"percentual_FAT_AGREG"
"2016";"Níquel";"PRODUTOS MANUFATURADOS";46019524;2754,351;7,39
"2017";"Níquel";"PRODUTOS MANUFATURADOS";53886118;3017,263;9,04
"2018";"Níquel";"PRODUTOS MANUFATURADOS";51504017;2107,361;7,42
"2016";"Níquel";"PRODUTOS SEMIMANUFATURADOS";546333390;208531,515;87,75
"2017";"Níquel";"PRODUTOS SEMIMANUFATURADOS";538486261;209887,918;90,3
"2018";"Níquel";"PRODUTOS SEMIMANUFATURADOS";640383983;197357,797;92,26
"2016";"Ouro";"PRODUTOS BASICOS";23179;0,73;0
"2017";"Ouro";"PRODUTOS BASICOS";828333;0,083;0,03
"2018";"Ouro";"PRODUTOS BASICOS";384079;19,097;0,01
"2016";"Ouro";"PRODUTOS MANUFATURADOS";550;0,01;0
"2017";"Ouro";"PRODUTOS MANUFATURADOS";68466;0,015;0
"2018";"Ouro";"PRODUTOS MANUFATURADOS";115879;0,004;0
"2016";"Ouro";"PRODUTOS SEMIMANUFATURADOS";2893031646;78,29;98,78
"2017";"Ouro";"PRODUTOS SEMIMANUFATURADOS";2800415727;75,385;99,09
"2018";"Ouro";"PRODUTOS SEMIMANUFATURADOS";2812731419;75,813;99,25
"2016";"Ouro";"TRANSACOES ESPECIAIS";35774149;0,331;1,22
"2017";"Ouro";"TRANSACOES ESPECIAIS";24732642;0,191;0,88
"2018";"Ouro";"TRANSACOES ESPECIAIS";20693766;0,045;0,73
